dateRep,cases,deaths,countryterritoryCode
07/04/2020,30561,1342,USA
06/04/2020,25398,1146,USA
05/04/2020,34272,1344,USA
04/04/2020,32425,1104,USA
03/04/2020,28819,915,USA
02/04/2020,27103,1059,USA
01/04/2020,24998,909,USA
31/03/2020,21595,661,USA
30/03/2020,18360,318,USA
29/03/2020,19979,484,USA
28/03/2020,18695,411,USA
27/03/2020,16797,246,USA
26/03/2020,13963,249,USA
25/03/2020,8789,211,USA
24/03/2020,11236,119,USA
23/03/2020,8459,131,USA
22/03/2020,7123,80,USA
21/03/2020,5374,110,USA
20/03/2020,4835,0,USA
19/03/2020,2988,42,USA
18/03/2020,1766,23,USA
17/03/2020,887,16,USA
16/03/2020,823,12,USA
15/03/2020,777,10,USA
14/03/2020,511,7,USA
13/03/2020,351,10,USA
12/03/2020,287,2,USA
11/03/2020,271,2,USA
10/03/2020,200,5,USA
09/03/2020,121,4,USA
08/03/2020,95,3,USA
07/03/2020,105,2,USA
06/03/2020,74,1,USA
05/03/2020,34,2,USA
04/03/2020,22,3,USA
03/03/2020,14,4,USA
02/03/2020,20,1,USA
01/03/2020,3,1,USA
29/02/2020,6,0,USA
28/02/2020,1,0,USA
27/02/2020,6,0,USA
26/02/2020,0,0,USA
25/02/2020,18,0,USA
24/02/2020,0,0,USA
23/02/2020,0,0,USA
22/02/2020,19,0,USA
21/02/2020,1,0,USA
20/02/2020,0,0,USA
19/02/2020,0,0,USA
18/02/2020,0,0,USA
17/02/2020,0,0,USA
16/02/2020,0,0,USA
15/02/2020,0,0,USA
14/02/2020,1,0,USA
13/02/2020,1,0,USA
12/02/2020,0,0,USA
11/02/2020,1,0,USA
10/02/2020,0,0,USA
09/02/2020,0,0,USA
08/02/2020,0,0,USA
07/02/2020,0,0,USA
06/02/2020,1,0,USA
05/02/2020,0,0,USA
04/02/2020,0,0,USA
03/02/2020,3,0,USA
02/02/2020,1,0,USA
01/02/2020,1,0,USA
31/01/2020,1,0,USA
30/01/2020,0,0,USA
29/01/2020,0,0,USA
28/01/2020,0,0,USA
27/01/2020,3,0,USA
26/01/2020,0,0,USA
25/01/2020,1,0,USA
24/01/2020,0,0,USA
23/01/2020,0,0,USA
22/01/2020,0,0,USA
21/01/2020,1,0,USA
20/01/2020,0,0,USA
19/01/2020,0,0,USA
18/01/2020,0,0,USA
17/01/2020,0,0,USA
16/01/2020,0,0,USA
15/01/2020,0,0,USA
14/01/2020,0,0,USA
13/01/2020,0,0,USA
12/01/2020,0,0,USA
11/01/2020,0,0,USA
10/01/2020,0,0,USA
09/01/2020,0,0,USA
08/01/2020,0,0,USA
07/01/2020,0,0,USA
06/01/2020,0,0,USA
05/01/2020,0,0,USA
04/01/2020,0,0,USA
03/01/2020,0,0,USA
02/01/2020,0,0,USA
01/01/2020,0,0,USA
31/12/2019,0,0,USA
